City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cabo San Lucas,MX,86.0,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
1,Kodiak,US,60.8,clear sky,57.79,-152.41,Best Western Kodiak Inn and Convention Center
2,Puerto Ayora,EC,66.99,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
3,Belmonte,BR,75.2,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
4,Cururupu,BR,75.42,clear sky,-1.83,-44.87,Pousada Través'cia
5,Barrow,US,57.2,clear sky,71.29,-156.79,King Eider Inn
6,Yellowknife,CA,64.4,broken clouds,62.46,-114.35,The Explorer Hotel
7,Yarada,IN,80.6,drizzle,17.65,83.27,"D-26/2, Dolphin Hill,"
8,Nanortalik,GL,47.98,clear sky,60.14,-45.24,"NTS Rooms, Nanortalik"
9,Padang,ID,81.5,few clouds,-0.95,100.35,Mercure Padang
10,Barcelos,PT,68.0,broken clouds,41.54,-8.62,Hotel Do Terço
11,Vaini,TO,73.4,overcast clouds,-21.2,-175.2,Keleti Beach Resort
12,Jamestown,US,66.0,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
13,Ushuaia,AR,32.0,scattered clouds,-54.8,-68.3,Albatros Hotel
14,Chuy,UY,51.69,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
15,Arlit,NE,93.0,broken clouds,18.74,7.39,Hôtel Telwa Bungalow
16,Cherskiy,RU,44.85,overcast clouds,68.75,161.3,Gostinitsa
17,Laguna,US,105.8,few clouds,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
18,Mayo,US,78.8,light rain,38.89,-76.51,Resorts Resource Group International
19,Kosonsoy,UZ,66.2,clear sky,41.26,71.55,"Гостиница ""Goldstar'"
20,Souillac,MU,71.6,scattered clouds,-20.52,57.52,Bils' Villa
21,Hasaki,JP,87.01,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
22,Karachi,PK,86.0,broken clouds,24.91,67.08,Hillside Homes
23,Puerto Leguizamo,CO,80.83,broken clouds,-0.19,-74.78,la casona de juancho
24,General Roca,AR,44.6,clear sky,-39.03,-67.58,Hotel El Recreo
25,Nhulunbuy,AU,80.6,few clouds,-12.23,136.77,East Arnhem Real Estate
26,Tiksi,RU,39.96,overcast clouds,71.69,128.87,Arktika
27,Talnakh,RU,62.6,clear sky,69.49,88.4,Talnakh Hotel
28,Lasa,IT,48.2,overcast clouds,46.62,10.7,Pension Feldgärtenhof
29,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
30,Adelaide,AU,55.99,broken clouds,-34.93,138.6,The Chancellor on Currie
32,Dordrecht,NL,64.99,clear sky,51.81,4.67,Bastion Hotel Dordrecht - Papendrecht
33,Dunedin,NZ,55.0,overcast clouds,-45.87,170.5,Scenic Hotel Southern Cross
34,Mataura,NZ,55.09,overcast clouds,-46.19,168.86,Ellie's Villa
35,Punta Arenas,CL,33.8,broken clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
37,Kavieng,PG,84.45,scattered clouds,-2.57,150.8,Nusa Island Retreat
38,Mahebourg,MU,71.6,scattered clouds,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
39,Arraial Do Cabo,BR,73.4,clear sky,-22.97,-42.03,Pousada Porto Praia
40,Sungaipenuh,ID,70.9,overcast clouds,-2.08,101.38,Hotel Jaya Wisata 2
41,Vila Velha,BR,73.4,clear sky,-20.33,-40.29,Hotel Vitória Palace
42,Sorland,NO,52.25,overcast clouds,67.67,12.69,Sjybrygga fiskecamp
43,Mar Del Plata,AR,43.0,overcast clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
45,Busselton,AU,50.0,scattered clouds,-33.65,115.33,Observatory Guest House
46,Bluff,NZ,51.33,broken clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
47,Kirakira,SB,85.12,overcast clouds,-10.45,161.92,SanBiz Lodge
48,Hamilton,US,69.01,light rain,39.18,-84.53,Six Acres Bed & Breakfast
50,Lewiston,US,69.8,overcast clouds,44.1,-70.21,Hilton Garden Inn Auburn Riverwatch
51,Cape Town,ZA,50.0,broken clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
52,Pulaski,US,87.8,broken clouds,34.77,-92.3,DoubleTree by Hilton Hotel Little Rock
53,Yulara,AU,57.2,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
54,Dhidhdhoo,MV,81.97,broken clouds,6.88,73.1,Dhidhoo beach
55,Dingle,PH,81.73,overcast clouds,11.0,122.67,Camp Pasica
56,Smithers,CA,68.0,scattered clouds,54.78,-127.17,Prestige Hudson Bay Lodge
57,Liverpool,GB,62.6,broken clouds,53.41,-2.98,Premier Inn Liverpool City Centre (Moorfields) hotel
58,Butaritari,KI,83.53,clear sky,3.07,172.79,Isles Sunset Lodge
59,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
60,Axim,GH,75.22,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
61,Lorengau,PG,83.61,light rain,-2.02,147.27,Lorengau Harbourside Hotel
62,Rikitea,PF,71.96,few clouds,-23.12,-134.97,Pension Maro'i
63,Norman Wells,CA,60.8,broken clouds,65.28,-126.83,Heritage Hotel
65,New Norfolk,AU,51.01,broken clouds,-42.78,147.06,The Shingles Riverside Cottages
66,Homer,US,62.6,broken clouds,59.64,-151.55,Beluga Lake Lodge
67,Esperance,AU,50.0,broken clouds,-33.87,121.9,Hospitality Esperance
68,Bethel,US,71.01,scattered clouds,41.37,-73.41,Courtyard by Marriott Danbury
69,Karmaskaly,RU,48.2,clear sky,54.37,56.18,Гостиница Кармаскалы
70,Pacifica,US,80.6,clear sky,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
71,Sitka,US,57.2,moderate rain,57.05,-135.33,Westmark Sitka
72,Igarka,RU,61.29,clear sky,67.47,86.58,"Zapolyar'ye, Gostinitsa"
73,Tecoanapa,MX,82.58,overcast clouds,16.52,-98.75,Hotel Manglares
74,Ponta Do Sol,PT,71.6,few clouds,32.67,-17.1,Hotel do Campo
75,Sheregesh,RU,56.66,overcast clouds,52.92,87.99,Hotel Olymp
77,Zunyi,CN,69.8,scattered clouds,27.69,106.91,Bishiluo Hostel
79,Hopewell,US,75.0,overcast clouds,37.3,-77.29,Best Western Plus Hopewell Inn
81,Pinos,MX,73.4,scattered clouds,22.3,-101.57,Hotel El Meson Del Conde
82,Honiara,SB,87.8,broken clouds,-9.43,159.95,Heritage Park Hotel
83,Sambava,MG,65.84,few clouds,-14.27,50.17,Melrose
84,Huarmey,PE,60.08,scattered clouds,-10.07,-78.15,Hotel Miramar
85,Qaqortoq,GL,50.0,clear sky,60.72,-46.03,Hotel Qaqortoq
86,Fairbanks,US,73.4,clear sky,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
87,Nome,US,71.01,clear sky,64.5,-165.41,Dredge 7 Inn
88,Castro,BR,59.07,light rain,-24.79,-50.01,CHACARA BAILLY
89,Pozo Colorado,PY,67.33,moderate rain,-23.49,-58.8,Hospedaje la Amistad
90,Victoria,HK,81.0,light intensity shower rain,22.29,114.16,Mini Hotel Central
91,Hermanus,ZA,48.99,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
92,Moron,AR,57.0,overcast clouds,-34.65,-58.62,Hotel Morón
93,Hobart,AU,52.0,scattered clouds,-42.88,147.33,St Ives Apartments
94,Upernavik,GL,46.18,overcast clouds,72.79,-56.15,Gina's Guesthouse - Upernavik
95,Wajima,JP,82.4,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
96,Iquique,CL,60.8,overcast clouds,-20.22,-70.14,Backpacker`s Hostel Iquique
98,San Felipe,VE,73.83,overcast clouds,10.34,-68.74,Posada Llovizna Rodríguez
99,Buala,SB,85.5,light rain,-8.14,159.59,Maringe Lagoon Lodge
101,Marion,US,75.2,scattered clouds,39.77,-86.16,Hilton Indianapolis Hotel & Suites
102,Bredasdorp,ZA,44.6,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
103,Lodwar,KE,81.55,overcast clouds,3.12,35.6,Turkwel Lodge
104,Tasiilaq,GL,44.6,overcast clouds,65.61,-37.64,The Red House
105,Saint-Philippe,RE,64.4,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
106,Thunder Bay,CA,62.6,overcast clouds,48.4,-89.32,Victoria Inn Hotel and Convention Centre
107,Nikolskoye,RU,51.01,clear sky,59.7,30.79,Tourist House - Sablino
108,Hami,CN,84.88,overcast clouds,42.8,93.45,Laoyutang Resort
109,Severo-Kurilsk,RU,51.8,overcast clouds,50.68,156.12,Kak Doma
110,Lebu,CL,45.54,clear sky,-37.62,-73.65,Hostal Las Lilas
111,Longyearbyen,SJ,44.6,shower rain,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
112,Port Elizabeth,ZA,51.8,light intensity shower rain,-33.92,25.57,39 On Nile Guest House
113,Hithadhoo,MV,83.95,few clouds,-0.6,73.08,Scoop Guest House
114,Filadelfia,US,81.0,scattered clouds,39.95,-75.16,Loews Philadelphia Hotel
115,Camana,PE,58.26,overcast clouds,-16.62,-72.71,Hostal Morales
116,Owando,CG,73.8,overcast clouds,-0.48,15.9,Exaunel Hotel Owando
117,Derzhavinsk,KZ,54.55,broken clouds,51.1,66.32,Ooo.khim Baza
118,Oksfjord,NO,50.0,overcast clouds,70.24,22.35,Bobo
119,Atuona,PF,78.94,clear sky,-9.8,-139.03,Villa Enata
120,Avarua,CK,75.2,light rain,-21.21,-159.78,Paradise Inn
121,Mocuba,MZ,67.42,clear sky,-16.84,36.99,Phama Lodge
122,Port Lincoln,AU,56.91,clear sky,-34.73,135.87,Port Lincoln Hotel
123,Sioux Lookout,CA,64.4,broken clouds,50.1,-91.92,Knobby's Fly-In Camps
124,Bengkulu,ID,80.33,clear sky,-3.8,102.27,Grage Hotel Bengkulu
125,Kargil,IN,56.73,clear sky,34.57,76.1,Caravan Sarai
126,Klaksvik,FO,46.4,overcast clouds,62.23,-6.59,Geilin Bed & Breakfast
128,Shenjiamen,CN,82.76,clear sky,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
129,Ribeira Grande,PT,71.47,broken clouds,38.52,-28.7,Quinta da Meia Eira
130,East London,ZA,55.51,overcast clouds,-33.02,27.91,Tu Casa
131,Harper,LR,75.4,light rain,4.38,-7.72,Screensaver
132,Xining,CN,56.97,clear sky,36.62,101.77,Super Leisure Hotel
133,Kapaa,US,87.8,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
136,Ponta Delgada,PT,75.2,light intensity shower rain,37.73,-25.67,Vila Nova Hotel
137,Andenes,NO,50.0,overcast clouds,69.31,16.12,Hotell Marena
138,Bilibino,RU,51.37,broken clouds,68.05,166.44,Gostinitsa Severyanka
139,Manokwari,ID,83.88,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
140,Bambous Virieux,MU,71.6,scattered clouds,-20.34,57.76,Casa Tia Villa
141,Verkhnetulomskiy,RU,46.4,broken clouds,68.61,31.8,Отель Уют
142,Sao Felix Do Xingu,BR,81.37,scattered clouds,-6.64,-51.99,Apart Hotel Rio Xingu
143,Bud,US,71.6,scattered clouds,39.45,-86.18,Madsion Scouts Camp
144,Dejen,ET,52.77,light rain,10.17,38.13,MAFLAB International Hotel
145,Saint-Pierre,RE,64.4,few clouds,-21.34,55.48,Lindsey Hôtel
146,Bang Bo,TH,81.0,few clouds,13.57,100.84,PAEVA LUXURY RESIDENCE
147,Ilulissat,GL,50.0,overcast clouds,69.22,-51.1,Hotel Arctic
148,Superior,US,77.0,clear sky,46.72,-92.1,Holiday Inn Express & Suites Superior - Duluth Area
149,Debre Tabor,ET,50.09,overcast clouds,11.85,38.02,Tigesh
150,San Vicente,AR,62.33,light rain,-26.62,-54.13,Complejo Turístico Farelluk
152,Puerto Madryn,AR,38.77,clear sky,-42.77,-65.04,Hotel Tolosa
153,Iwaki,JP,87.01,few clouds,37.05,140.88,Toyoko Inn Iwaki Ekimae
154,Katsuura,JP,87.01,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
155,Saint Anthony,US,80.01,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
156,Knappskog,NO,64.99,broken clouds,60.38,5.06,Bergen. Norway. Ågotnes. Lovely Seaview.
157,Khatanga,RU,52.12,clear sky,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
158,Kruisfontein,ZA,48.58,light rain,-34.0,24.73,Oyster Bay House Rental
159,Kokoda,PG,83.68,broken clouds,-8.88,147.74,Daito Guest House
160,Ixtapa,MX,80.6,light rain,20.7,-105.2,Container Inn Puerto Vallarta
161,Olafsvik,IS,51.12,overcast clouds,64.89,-23.71,Hotel Olafsvik
162,Quatre Cocos,MU,71.6,scattered clouds,-20.21,57.76,Veranda Palmar Beach Hotel
163,Carnarvon,AU,59.0,broken clouds,-24.87,113.63,Hospitality Carnarvon
164,Atar,MR,94.33,clear sky,20.52,-13.05,Oumou Elghoura
165,Moree,AU,64.4,clear sky,-29.47,149.85,Molika Springs Motel
166,Namatanai,PG,83.44,broken clouds,-3.67,152.43,Namatanai Hotel
167,Kashi,CN,66.2,light intensity shower rain,39.45,75.98,帕米尔青年旅舍
168,Alfatar,BG,61.0,overcast clouds,43.95,27.28,Семеен хотел Братила
171,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
172,Tuatapere,NZ,51.37,moderate rain,-46.13,167.68,Tom Cruse Refreshment Company
173,Bend,US,91.4,clear sky,44.06,-121.32,Fairfield Inn & Suites by Marriott Bend Downtown
174,Huautla,MX,75.0,moderate rain,21.03,-98.28,Hotel Huautla
175,Havre,FR,66.2,overcast clouds,49.58,0.33,gite bois jourdain
176,Grao Mogol,BR,62.01,clear sky,-16.56,-42.89,Pousada do Eti
177,Nova Russas,BR,76.55,clear sky,-4.71,-40.56,palace motel
178,Faanui,PF,78.12,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
179,Benguela,AO,66.36,clear sky,-12.58,13.41,Hotel Praia Morena
180,Skala,PL,64.99,mist,50.23,19.85,Hotel pod Kazimierzem
181,Manggar,ID,82.96,overcast clouds,-2.88,108.27,Guest Hotel
183,Port Alfred,ZA,53.89,broken clouds,-33.59,26.89,The Halyards Hotel
184,Pasni,PK,82.44,overcast clouds,25.26,63.47,3G hotel pasni
185,Kaitangata,NZ,54.0,overcast clouds,-46.28,169.85,Kaitangata Motor Camp
186,Hambantota,LK,77.0,overcast clouds,6.12,81.12,Bungalow 63
187,Dudinka,RU,62.6,clear sky,69.41,86.18,Hotel Viktoria
188,Cidreira,BR,62.37,moderate rain,-30.18,-50.21,Hotel Castelo
190,Coos Bay,US,68.0,clear sky,43.37,-124.22,Best Western Holiday Hotel
191,Naron,ES,69.8,broken clouds,43.52,-8.15,Marcial
192,Mairana,BO,56.5,overcast clouds,-18.12,-63.93,Mi Terruño
193,San Patricio,MX,78.8,moderate rain,19.22,-104.7,Hotel Cabo Blanco
194,Diu,IN,80.44,light rain,20.71,70.98,Hotel Relax Inn
195,Iqaluit,CA,42.8,broken clouds,63.75,-68.51,Frobisher Inn
196,Poum,NC,69.62,clear sky,-20.23,164.02,Gîte kajeon
197,Tsabong,BW,34.99,clear sky,-26.02,22.4,Springbok Motel
198,Ngunguru,NZ,64.99,light rain,-35.62,174.5,Pacific Rendezvous Motel Resort
199,Marawi,PH,77.0,overcast clouds,8.0,124.29,Salihmaruhom
200,San Carlos De Bariloche,AR,30.2,few clouds,-41.15,-71.31,Hotel Patagonia
201,Surgut,RU,57.2,light intensity shower rain,61.25,73.42,Business Hotel
202,Sibu,MY,75.2,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
203,Benjamin Hill,MX,100.0,clear sky,30.17,-111.1,Luis Guillermo García Medina
204,Menongue,AO,51.31,clear sky,-14.66,17.69,Ritz Lauca
205,Weyburn,CA,89.01,clear sky,49.67,-103.85,Perfect Inns & Suites
207,Hudson Bay,CA,77.67,clear sky,52.85,-102.38,Norwood Motel LTD
208,Monrovia,LR,75.9,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
209,Sao Gabriel Da Cachoeira,BR,75.36,overcast clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
211,Nizwa,OM,89.46,overcast clouds,22.93,57.53,Orient Apartments
212,Vargashi,RU,50.58,moderate rain,55.36,65.85,Tourist hotel
213,Matamoros,MX,89.6,broken clouds,25.53,-103.25,Recreativo Sabdy Briseidy
214,Whitecourt,CA,84.2,broken clouds,54.15,-115.69,Super 8 by Wyndham Whitecourt
216,Nurota,UZ,60.8,clear sky,40.56,65.69,Guest House Ruslan Nurata & Tours
217,Puerto Escondido,MX,82.4,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
218,Zatoka,UA,62.6,clear sky,46.07,30.47,Solnechnaya
219,Zhangye,CN,74.84,clear sky,38.93,100.45,Zhangye Lvzhou Holiday Inn
220,Gryazi,RU,53.6,broken clouds,52.5,39.94,Гостиница Ника
221,Nikolsk,RU,53.15,overcast clouds,53.72,46.07,Гостиница Центральная
222,Eyl,SO,77.99,few clouds,7.98,49.82,Amiin Hotel
223,Bollnas,SE,57.0,broken clouds,61.35,16.39,Grand Hotel
224,Imeni Poliny Osipenko,RU,59.68,broken clouds,52.42,136.49,Yubileynaya
225,Tabou,CI,75.38,broken clouds,4.42,-7.35,hotêl doufoulougou
